,Label,VehicleID,Distance_driven,Sum_warning,Sum_warning_speed,Sum_secure_dist,Sum_TTC_respect,Sum_safe_dist,Sum_Emergency_Brake
3114,Dangerous,dang1064,4538.460714022866,256,163,40,4,48,1
3115,Normal,normal1067,1718.9306005069473,8,7,0,0,0,1
3116,Dangerous,dang1065,3383.2023072016714,390,34,88,19,244,5
3117,Normal,normal1068,2953.158717459654,38,1,2,2,31,2
3118,Slow,slow1063,2848.62725818848,5,0,0,5,0,0
3119,Dangerous,dang1061,4396.712242738865,226,153,49,9,15,0
3120,Dangerous,dang1066,6820.3213948008015,203,40,119,8,35,1
3121,Normal,normal1057,3639.941876705088,194,1,20,6,163,4
3122,Normal,normal1069,5566.021645215352,7,1,2,0,4,0
3123,Slow,slow1064,4549.03311127777,10,0,6,3,0,1
3124,Dangerous,dang1067,1720.985087490778,29,17,11,0,0,1
3125,Normal,normal1062,5123.752182176928,58,54,1,3,0,0
3126,Normal,normal1070,4840.473607094115,13,0,1,2,9,1
3127,Slow,slow1065,1441.2057913733963,9,0,2,7,0,0
3128,Dangerous,dang1068,2954.728674393066,86,70,12,2,0,2
3129,Slow,slow1066,5764.359638137279,4,1,1,2,0,0
3130,Dangerous,dang1057,6155.429432183265,287,75,140,6,66,0
3131,Dangerous,dang1069,5569.036003588355,186,139,36,2,9,0
3132,Normal,normal1072,5676.852100352742,2,2,0,0,0,0
3133,Slow,slow1061,4375.047826481049,15,0,4,11,0,0
3134,Slow,slow1067,1723.2589994301647,3,0,2,0,0,1
3135,Dangerous,dang1062,5106.212366437316,190,7,141,6,34,2
3136,Dangerous,dang1070,4841.6313773942475,97,87,8,0,0,2
3137,Normal,normal1073,4964.390537073396,144,0,2,3,138,1
3138,Slow,slow1068,2963.7622321159365,7,0,0,6,0,1
3139,Normal,normal1071,4724.095787353137,206,66,5,3,132,0
3140,Normal,normal1074,1283.4074921139465,539,0,5,2,532,0
3141,Slow,slow1057,2866.782096261373,2,0,0,2,0,0
3142,Slow,slow1069,5572.510944098389,3,0,1,2,0,0
3143,Dangerous,dang1072,5868.155155995946,201,103,47,5,46,0
3144,Normal,normal1075,3445.0951524778548,35,34,0,0,0,1
3145,Slow,slow1062,5017.667315681642,3,0,3,0,0,0
3146,Slow,slow1070,4839.346415438186,2,0,0,2,0,0
3147,Dangerous,dang1073,5293.987469259954,290,60,66,16,147,1
3148,Normal,normal1076,2309.6005994609854,2,2,0,0,0,0
3149,Dangerous,dang1071,5248.989835972077,420,104,71,11,234,0
3150,Dangerous,dang1074,1277.407557836796,512,0,71,3,438,0
3151,Normal,normal1077,3097.7485650185467,3,3,0,0,0,0
3152,Slow,slow1072,5677.832458961344,2,0,0,2,0,0
3153,Dangerous,dang1075,3489.2570177086272,84,79,2,1,0,2
3154,Normal,normal1078,450.01776730354806,1,1,0,0,0,0
3155,Slow,slow1073,4598.461365408686,8,0,2,6,0,0
3156,Dangerous,dang1076,2309.856459500855,77,13,42,7,14,1
3157,Normal,normal1079,2528.361230234876,132,92,39,0,1,0
3158,Slow,slow1071,5215.678773727875,4,0,1,2,0,1
3159,Slow,slow1074,1269.4477757715133,9,0,1,6,2,0
3160,Dangerous,dang1077,3228.2586530438625,78,2,43,1,32,0
3161,Normal,normal1080,3621.432901772071,277,1,22,3,249,2
3162,Slow,slow1075,3438.2930506533703,3,0,1,2,0,0
3163,Dangerous,dang1078,443.41270649520897,16,1,14,1,0,0
3164,Normal,normal1081,1863.7373466616361,94,1,18,0,75,0
3165,Slow,slow1076,2309.5849600893453,1,0,0,1,0,0
3166,Dangerous,dang1079,2523.9780817276746,223,90,119,3,11,0
3167,Normal,normal1082,1902.4445241648298,52,1,1,4,46,0
3168,Slow,slow1077,3089.8809797908125,0,0,0,0,0,0
3169,Dangerous,dang1080,3562.397353785629,512,13,183,25,277,14
3170,Slow,slow1078,441.4571603823854,0,0,0,0,0,0
3171,Dangerous,dang1081,1867.824470466358,197,29,59,4,104,1
3172,Normal,normal1084,5828.596370222252,46,12,17,2,15,0
3173,Slow,slow1079,2527.8658229784346,0,0,0,0,0,0
3174,Dangerous,dang1082,1893.619370540412,72,2,16,2,50,2
3175,Normal,normal1085,1664.1780093283296,38,36,1,0,0,1
3176,Slow,slow1080,2793.066780314793,6,0,2,4,0,0
3177,Normal,normal1086,1903.0801879110188,522,0,3,6,513,0
3178,Slow,slow1081,1860.3313494463057,4,0,2,1,0,1
3179,Dangerous,dang1084,5799.512557259787,189,6,160,7,13,3
3180,Normal,normal1087,4523.796359774957,161,59,2,5,95,0
3181,Slow,slow1082,1896.127086362978,11,0,0,10,0,1
3182,Dangerous,dang1085,1664.6886184713962,76,59,16,0,0,1
3183,Dangerous,dang1086,1910.480303104032,649,77,16,8,546,2
3184,Normal,normal1089,3353.1203614371043,8,6,2,0,0,0
3185,Slow,slow1084,5459.961128918479,10,0,2,8,0,0
3186,Dangerous,dang1087,3371.5759572297056,352,1,91,21,237,2
3187,Normal,normal1090,2928.2637602233526,12,0,1,0,11,0
3188,Slow,slow1085,1669.22811342222,2,0,0,2,0,0
3189,Normal,normal1091,2323.224824842798,503,0,3,4,496,0
3190,Slow,slow1086,1887.0835291481787,4,0,0,4,0,0
3191,Dangerous,dang1089,3347.495212128505,36,9,23,2,1,1
3192,Normal,normal1092,5038.078374531697,62,4,3,3,52,0
3193,Dangerous,dang1090,2924.347085305502,58,54,4,0,0,0
3194,Normal,normal1093,3728.227441147722,93,14,1,3,75,0
3195,Dangerous,dang1091,2330.624908573348,633,12,74,13,530,4
3196,Normal,normal1094,3735.352925634445,38,10,0,4,24,0
3197,Slow,slow1089,3346.0855786414677,2,0,0,2,0,0
3198,Dangerous,dang1092,5024.55920619921,182,7,102,7,65,1
3199,Normal,normal1095,4512.547631077421,253,45,12,7,188,1
3200,Slow,slow1090,2930.571697037566,5,0,0,5,0,0
3201,Dangerous,dang1093,3820.3997639820395,271,56,91,13,110,1
3202,Normal,normal1096,1693.900240861198,2,2,0,0,0,0
3203,Slow,slow1091,2315.2315478876967,5,0,0,5,0,0
3204,Dangerous,dang1094,3933.879179003321,54,11,30,5,8,0
3205,Normal,normal1097,541.5135175503106,548,0,2,3,543,0
3206,Slow,slow1092,5038.017207649317,3,0,0,2,0,1
3207,Dangerous,dang1095,4522.123238750524,437,47,143,12,231,4
3208,Dangerous,dang1096,1690.0879183684438,135,11,120,1,3,0
3209,Normal,normal1088,2500.015888751405,4,4,0,0,0,0
3210,Normal,normal1098,1275.759456110534,382,2,4,3,373,0
3211,Slow,slow1093,3736.6408920428084,11,0,7,4,0,0
3212,Normal,normal1099,5353.916417055839,23,7,9,2,4,1
3213,Slow,slow1094,3740.351016161485,7,0,0,7,0,0
3214,Slow,slow1096,1652.6898348630812,0,0,0,0,0,0
3215,Dangerous,dang1097,535.5153881576364,709,0,59,11,639,0
3216,Normal,normal1100,1671.5500539738991,22,2,5,3,12,0
3217,Slow,slow1095,4471.478736921398,4,0,2,2,0,0
3218,Dangerous,dang1088,2490.7727024731876,54,22,26,1,5,0
3219,Dangerous,dang1098,1478.890042593385,581,2,55,30,493,1
3220,Normal,normal1101,2819.8154079611495,6,6,0,0,0,0
3221,Dangerous,dang1099,5389.896102565307,288,12,231,0,45,0
3222,Normal,normal1102,3423.2117761754407,87,7,2,2,76,0
3223,Slow,slow1097,506.1708291400269,5,0,1,4,0,0
3224,Slow,slow1098,1239.3399893764638,8,0,3,5,0,0
3225,Dangerous,dang1100,1671.5373469576205,172,27,58,16,69,2
3226,Normal,normal1103,4893.267237276431,72,10,23,7,30,2
3227,Slow,slow1088,2498.727765671849,0,0,0,0,0,0
3228,Dangerous,dang1101,2824.5925819814647,51,4,21,10,16,0
3229,Normal,normal1104,4433.873819245724,191,1,17,2,171,0
3230,Slow,slow1099,5260.784607839005,1,0,0,1,0,0
3231,Dangerous,dang1102,3431.468780325195,177,18,75,16,65,3
3232,Normal,normal1105,6027.036327510712,128,6,26,6,90,0
3233,Slow,slow1100,1673.2145556164544,1,0,0,1,0,0
3234,Dangerous,dang1103,4927.322623588101,190,12,123,12,41,2
3235,Normal,normal1106,3385.323022699499,26,1,6,0,18,1
3236,Slow,slow1101,2823.891024972869,2,0,2,0,0,0
3237,Dangerous,dang1104,4663.309491967004,245,39,128,9,66,3
