,Label,VehicleID,Distance_driven,Sum_warning,Sum_warning_speed,Sum_secure_dist,Sum_TTC_respect,Sum_safe_dist,Sum_Emergency_Brake
398,Normal,normal134,5673.758428836859,7,5,0,0,0,2
399,Slow,slow133,4093.079888048418,2,0,1,0,0,1
400,Dangerous,dang134,5677.650039251502,58,49,9,0,0,0
401,Normal,normal135,5601.198361110852,2,1,0,0,0,1
402,Slow,slow134,5685.6998901572115,0,0,0,0,0,0
403,Dangerous,dang135,5688.837671431034,183,1,131,4,46,1
404,Normal,normal136,772.8621808302225,0,0,0,0,0,0
405,Slow,slow135,5569.323272910451,0,0,0,0,0,0
406,Dangerous,dang136,769.4728890646836,38,1,35,0,2,0
407,Normal,normal137,1986.0406510898806,4,3,0,0,0,1
408,Dangerous,dang137,2032.0203794954557,41,15,11,0,15,0
409,Slow,slow136,773.9160501301092,0,0,0,0,0,0
410,Normal,normal138,1412.1788205434543,3,3,0,0,0,0
411,Dangerous,dang138,1407.9847184269533,104,2,78,0,24,0
412,Normal,normal139,4836.38197622195,4,3,0,0,0,1
413,Slow,slow138,1414.8518799350832,3,3,0,0,0,0
414,Slow,slow137,1979.8707296379864,0,0,0,0,0,0
415,Dangerous,dang139,4833.662719932698,229,120,61,9,34,5
416,Normal,normal140,6744.453111756036,2,2,0,0,0,0
417,Slow,slow139,4837.232610215689,4,0,0,0,0,4
418,Dangerous,dang140,6745.504247971713,77,9,50,1,14,3
419,Slow,slow140,6744.434489586892,0,0,0,0,0,0
420,Normal,normal142,2702.320115761253,4,4,0,0,0,0
421,Dangerous,dang142,2700.2939411833527,88,88,0,0,0,0
422,Normal,normal143,5062.935206186548,0,0,0,0,0,0
423,Slow,slow142,2710.3491013449634,1,0,0,0,0,1
424,Dangerous,dang143,5078.801594052695,185,174,10,0,1,0
425,Normal,normal144,1244.2589709030904,2,0,0,0,0,2
426,Slow,slow143,5064.384611877391,2,2,0,0,0,0
427,Dangerous,dang144,1237.7555664567594,56,5,43,3,5,0
428,Normal,normal145,4601.074138481244,43,43,0,0,0,0
429,Slow,slow144,1248.861347038745,0,0,0,0,0,0
430,Dangerous,dang145,4606.886799299349,271,156,81,2,30,2
431,Normal,normal146,2370.478890847333,13,13,0,0,0,0
